General Information,,,Data Category #1: Test Organism,,,,Data Category #2: Experimental Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #3: Biological Effects,,,,,,,,Category #4: Particle Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #5: Quality Criteria,,,,,,,,,,,,,,,Screening Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI,Authors,Year,Species,Life Stage,In vitro In vivo,Sex,Experiment Type,Exposure Route,Particle Mix?,Negative Control,Reference Particle,Exposure Media,Solvent,Detergent,Media Salinity (ppt),Media pH,Media Temp (Mean),Media Temp Min,Media Temp Max,Exposure Duration (Days),Treatments,Replicates,Dosing Frequency,Sample Size,Nominal Dose - Mass,Nominal Dose - Mass Units,Nominal Dose - Particles,Nominal Dose - Particles Units,Nominal Dose Alternative Category,Nominal Dose - Alternative Type,Nominal Dose - Alternative Type Units,Nominal Chemicals Added,Nominal Added Chemical Dose,Nominal Added Chemical Dose Units,Measured Dose - Mass,Measured Dose - Mass Units,Measured Dose - Particles,Measured Dose - Particles Units,Measured Dose Alternative Category,Measured Dose Alternative,Measured Dose Alternative Units,Measured Chemicals Added,Measured Chemical Dose,Measured Chemical Dose Units,Effect,Effect Metric,Direction,Broad Endpoint Category,Specific Endpoint Category,Endpoint,Level of Biological Organization,Target Cell or Tissue,Polymer,Density (g/cm^3),Density (Reported/Estimated),Shape,Charge,Zeta Potential (mV),Zeta Potential Media,Functional Group,Size Length mm Nominal,Size Length mm Nominal (minimum),Size Length mm Nominal (maximum),Size Length mm Measured,Size Length mm Measured (minimum),Size Length mm Measured (Maximum),Size Width mm Nominal,Size Width mm Nominal (minimum),Size Width mm Nominal (maximum),Size Width mm Measured,Size Width mm Measured (minimum),Size Width mm Measured (maximum),Size Height mm Nominal,Size Height mm Nominal (minimum),Size Height mm Nominal (maximum),Size Height mm Measured,Size Height mm Measured (minimum),Size Height mm Measured (maximum),Weathered or Biofouled?,Size Validated?,Shape Validated?,Polymer Validated?,Particle Source,Sodium Azide Present?,Screened for Chemical Contamination?,Particle Cleaning?,Solvent Rinse,Background Contamination Monitored?,Concentration Validated?,Particle Behavior,Uptake Validated?,Uptake Validation Method,Tissue Distribution,Organisms Fed?,Particle 1,Particle 2,Particle 3,Particle 4,Particle 5,Particle 6,Particle 7,Design 1,Design 2,Design 3,Design 4,Design 5,Design 6,Design 7,Design 8,Design 9,Design 10,Design 11,Design 12,Design 13,Risk 1,Risk 2,Risk 3,Risk 4,Risk 5,Risk 6,Particle Total,Design Total,Risk Total,Overall Total
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,3,1000,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hdf.cells,Polyethylene,0.96,Reported,Sphere,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,commercial,unknown,No,Not Cleaned,NA,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,3,10,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hela.cells,Polyethylene,0.96,Reported,Sphere,NA,NA,NA,NA,NA,0.001,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,commercial,unknown,No,Not Cleaned,NA,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,3,100,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hela.cells,Polyethylene,0.96,Reported,Sphere,NA,NA,NA,NA,NA,0.001,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,commercial,unknown,No,Not Cleaned,NA,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,3,1000,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hela.cells,Polyethylene,0.96,Reported,Sphere,NA,NA,NA,NA,NA,0.001,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,commercial,unknown,No,Not Cleaned,NA,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,3,10,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hela.cells,Polyethylene,0.96,Reported,Sphere,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,commercial,unknown,No,Not Cleaned,NA,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,3,100,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hela.cells,Polyethylene,0.96,Reported,Sphere,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,commercial,unknown,No,Not Cleaned,NA,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,3,1000,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hela.cells,Polyethylene,0.96,Reported,Sphere,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,commercial,unknown,No,Not Cleaned,NA,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,3,10,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hela.cells,Polyethylene,0.96,Reported,Sphere,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,commercial,unknown,No,Not Cleaned,NA,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,3,100,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hela.cells,Polyethylene,0.96,Reported,Sphere,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,commercial,unknown,No,Not Cleaned,NA,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,3,1000,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hela.cells,Polyethylene,0.96,Reported,Sphere,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,commercial,unknown,No,Not Cleaned,NA,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,10,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hdf.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.025,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,100,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hdf.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.025,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,250,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NOEC,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hdf.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.025,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,500,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,decrease,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hdf.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.025,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,10,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hdf.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.075,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,100,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hdf.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.075,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,250,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NOEC,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hdf.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.075,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,DMEM,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,500,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,decrease,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,hdf.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.075,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,RPMI 1640 Medium,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,10,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,rbl-2h3.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.025,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,RPMI 1640 Medium,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,100,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,rbl-2h3.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.025,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,RPMI 1640 Medium,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,250,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,rbl-2h3.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.025,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,RPMI 1640 Medium,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,500,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,rbl-2h3.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.025,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,RPMI 1640 Medium,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,10,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,rbl-2h3.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.075,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,RPMI 1640 Medium,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,100,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,rbl-2h3.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.075,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,RPMI 1640 Medium,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,250,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,rbl-2h3.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.075,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,RPMI 1640 Medium,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,3,500,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Cytotoxicity,Cytotoxicity,Cytoxicity,Cell,rbl-2h3.cells,Polyethylene,0.925,Reported,Fragment,NA,NA,NA,NA,NA,0.075,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,modified,unknown,No,rinse,methanol,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,RPMI 1640 Medium,NA,NA,NA,NA,37,NA,NA,4,3,1,0,3,10,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Immune,Inflammation,IL6 Release,Subcell,pbm.cells,Polyethylene,0.96,Reported,Sphere,NA,NA,NA,NA,NA,0.001,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,commercial,unknown,No,Not Cleaned,NA,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
10.1016/j.scitotenv.2020.142242,Choi,2021,(Human) Homo sapiens,NA,In Vitro,NA,Particle Only,In Vitro,No,Yes,No,RPMI 1640 Medium,NA,NA,NA,NA,37,NA,NA,4,3,1,0,3,100,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NOEC,NA,Immune,Inflammation,IL6 Release,Subcell,pbm.cells,Polyethylene,0.96,Reported,Sphere,NA,NA,NA,NA,NA,0.001,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,commercial,unknown,No,Not Cleaned,NA,No,No,FBS-supplemented DMEM used as hydorphobic media to ensure dispersion,No,NA,NA,NA,1,2,2,1,0,0,0,1,1,2,1,0,1,2,1,2,1,NA,NA,NA,2,1,2,0,1,1,6,12,7,25
